ID,Year,Competition,Round,GameTimeUTC,GameTimeLocal,HomeTeam,AwayTeam,Ground,Score,Result,HomeOdds,AwayOdds,TipstersPick,TipOutcome
4870,2013,HA,1,2013-03-22 09:40:00+00:00,2013-03-22 20:40:00+11:00,Adelaide,Essendon,Footy Park,82-117,Essendon,1.534,2.68,Adelaide,0
4871,2013,HA,1,2013-03-23 08:40:00+00:00,2013-03-23 19:40:00+11:00,Fremantle,West Coast,Subiaco,108-80,Fremantle,1.746,2.21,Fremantle,1
4872,2013,HA,1,2013-03-28 08:40:00+00:00,2013-03-28 19:40:00+11:00,Carlton,Richmond,MCG,101-106,Richmond,2.05,1.862,Carlton,0
4873,2013,HA,1,2013-03-30 02:40:00+00:00,2013-03-30 13:40:00+11:00,Western Bulldogs,Brisbane,Docklands,127-59,Western Bulldogs,4.42,1.253,Brisbane,0
4874,2013,HA,1,2013-03-30 05:40:00+00:00,2013-03-30 16:40:00+11:00,GWS,Sydney,Homebush,76-106,Sydney,16.5,1.036,Sydney,1
4875,2013,HA,1,2013-03-30 08:40:00+00:00,2013-03-30 19:40:00+11:00,Gold Coast,St Kilda,Gold Coast,90-77,Gold Coast,3.32,1.383,St Kilda,0
4876,2013,HA,1,2013-03-31 02:10:00+00:00,2013-03-31 13:10:00+11:00,Melbourne,Port Adelaide,MCG,54-133,Port Adelaide,2.0,1.909,Melbourne,0
4877,2013,HA,1,2013-03-31 05:40:00+00:00,2013-03-31 16:40:00+11:00,North Melbourne,Collingwood,Docklands,87-103,Collingwood,2.22,1.74,Collingwood,1
4878,2013,HA,1,2013-04-01 04:15:00+00:00,2013-04-01 15:15:00+11:00,Hawthorn,Geelong,MCG,86-93,Geelong,1.595,2.52,Hawthorn,0
4879,2013,HA,2,2013-04-05 08:50:00+00:00,2013-04-05 19:50:00+11:00,St Kilda,Richmond,MCG,82-99,Richmond,3.01,1.444,Richmond,1
4880,2013,HA,2,2013-04-06 02:45:00+00:00,2013-04-06 13:45:00+11:00,Sydney,Gold Coast,SCG,114-73,Sydney,1.084,9.42,Sydney,1
4881,2013,HA,2,2013-04-06 03:10:00+00:00,2013-04-06 14:10:00+11:00,Western Bulldogs,Fremantle,Docklands,78-106,Fremantle,3.64,1.333,Fremantle,1
4882,2013,HA,2,2013-04-06 05:40:00+00:00,2013-04-06 16:40:00+11:00,Brisbane,Adelaide,Gabba,77-96,Adelaide,2.02,1.884,Brisbane,0
4883,2013,HA,2,2013-04-06 08:40:00+00:00,2013-04-06 19:40:00+11:00,Essendon,Melbourne,MCG,184-36,Essendon,1.113,7.94,Essendon,1
4884,2013,HA,2,2013-04-06 08:40:00+00:00,2013-04-06 19:40:00+11:00,Port Adelaide,GWS,Footy Park,134-78,Port Adelaide,1.165,6.02,Port Adelaide,1
4885,2013,HA,2,2013-04-07 03:10:00+00:00,2013-04-07 13:10:00+10:00,Geelong,North Melbourne,Docklands,112-108,Geelong,1.471,2.9,Geelong,1
4886,2013,HA,2,2013-04-07 05:15:00+00:00,2013-04-07 15:15:00+10:00,Collingwood,Carlton,MCG,117-100,Collingwood,1.507,2.77,Collingwood,1
4887,2013,HA,2,2013-04-07 06:40:00+00:00,2013-04-07 16:40:00+10:00,West Coast,Hawthorn,Subiaco,98-148,Hawthorn,2.01,1.9,West Coast,0
4888,2013,HA,3,2013-04-12 10:40:00+00:00,2013-04-12 20:40:00+10:00,Fremantle,Essendon,Subiaco,68-72,Essendon,1.432,3.06,Fremantle,0
4889,2013,HA,3,2013-04-13 03:45:00+00:00,2013-04-13 13:45:00+10:00,North Melbourne,Sydney,Hobart,92-131,Sydney,2.16,1.781,Sydney,1
4890,2013,HA,3,2013-04-13 04:10:00+00:00,2013-04-13 14:10:00+10:00,Melbourne,West Coast,MCG,83-177,West Coast,14.4,1.044,West Coast,1
4891,2013,HA,3,2013-04-13 06:40:00+00:00,2013-04-13 16:40:00+10:00,GWS,St Kilda,Manuka,68-140,St Kilda,5.0,1.212,St Kilda,1
4892,2013,HA,3,2013-04-13 09:40:00+00:00,2013-04-13 19:40:00+10:00,Geelong,Carlton,Docklands,119-103,Geelong,1.529,2.7,Carlton,0
4893,2013,HA,3,2013-04-13 09:40:00+00:00,2013-04-13 19:40:00+10:00,Gold Coast,Brisbane,Gold Coast,92-94,Brisbane,2.75,1.512,Brisbane,1
4894,2013,HA,3,2013-04-14 03:10:00+00:00,2013-04-14 13:10:00+10:00,Richmond,Western Bulldogs,Docklands,135-68,Richmond,1.26,4.33,Richmond,1
4895,2013,HA,3,2013-04-14 05:15:00+00:00,2013-04-14 15:15:00+10:00,Collingwood,Hawthorn,MCG,90-145,Hawthorn,2.52,1.591,Hawthorn,1
4896,2013,HA,3,2013-04-14 06:40:00+00:00,2013-04-14 16:40:00+10:00,Port Adelaide,Adelaide,Footy Park,118-109,Port Adelaide,2.99,1.45,Adelaide,0
4897,2013,HA,4,2013-04-19 09:50:00+00:00,2013-04-19 19:50:00+10:00,Sydney,Geelong,SCG,103-124,Geelong,1.561,2.6,Sydney,0
4898,2013,HA,4,2013-04-20 03:45:00+00:00,2013-04-20 13:45:00+10:00,Hawthorn,Fremantle,Launceston,118-76,Hawthorn,1.162,6.09,Hawthorn,1
4899,2013,HA,4,2013-04-20 04:10:00+00:00,2013-04-20 14:10:00+10:00,Richmond,Collingwood,MCG,79-113,Collingwood,1.961,1.943,Richmond,0
4900,2013,HA,4,2013-04-20 06:40:00+00:00,2013-04-20 16:40:00+10:00,St Kilda,Essendon,Docklands,91-128,Essendon,2.73,1.52,Essendon,1
4901,2013,HA,4,2013-04-20 09:40:00+00:00,2013-04-20 19:40:00+10:00,West Coast,Carlton,Subiaco,65-89,Carlton,1.452,2.98,West Coast,0
4902,2013,HA,4,2013-04-20 09:40:00+00:00,2013-04-20 19:40:00+10:00,Gold Coast,Port Adelaide,Gold Coast,66-104,Port Adelaide,2.88,1.476,Port Adelaide,1
4903,2013,HA,4,2013-04-21 03:10:00+00:00,2013-04-21 13:10:00+10:00,Melbourne,GWS,MCG,144-103,Melbourne,1.425,3.1,Melbourne,1
4904,2013,HA,4,2013-04-21 05:15:00+00:00,2013-04-21 15:15:00+10:00,Adelaide,Western Bulldogs,Footy Park,80-28,Adelaide,1.121,7.55,Adelaide,1
4905,2013,HA,4,2013-04-21 06:40:00+00:00,2013-04-21 16:40:00+10:00,North Melbourne,Brisbane,Docklands,125-62,North Melbourne,1.266,4.26,North Melbourne,1
4906,2013,HA,5,2013-04-25 04:45:00+00:00,2013-04-25 14:45:00+10:00,Essendon,Collingwood,MCG,121-75,Essendon,2.29,1.704,Collingwood,0
4907,2013,HA,5,2013-04-25 07:50:00+00:00,2013-04-25 17:50:00+10:00,St Kilda,Sydney,Wellington,63-79,Sydney,5.83,1.172,Sydney,1
4908,2013,HA,5,2013-04-26 10:45:00+00:00,2013-04-26 20:45:00+10:00,Fremantle,Richmond,Subiaco,81-80,Fremantle,1.465,2.93,Fremantle,1
4909,2013,HA,5,2013-04-27 03:40:00+00:00,2013-04-27 13:40:00+10:00,GWS,Gold Coast,Manuka,104-148,Gold Coast,3.57,1.343,Gold Coast,1
4910,2013,HA,5,2013-04-27 06:40:00+00:00,2013-04-27 16:40:00+10:00,Carlton,Adelaide,MCG,115-83,Carlton,1.425,3.1,Carlton,1
4911,2013,HA,5,2013-04-27 09:40:00+00:00,2013-04-27 19:40:00+10:00,Western Bulldogs,Geelong,Docklands,86-107,Geelong,17.5,1.03,Geelong,1
4912,2013,HA,5,2013-04-27 09:40:00+00:00,2013-04-27 19:40:00+10:00,Port Adelaide,West Coast,Footy Park,84-79,Port Adelaide,1.98,1.925,Port Adelaide,1
4913,2013,HA,5,2013-04-28 05:15:00+00:00,2013-04-28 15:15:00+10:00,Brisbane,Melbourne,Gabba,122-94,Brisbane,1.196,5.31,Brisbane,1
4914,2013,HA,5,2013-04-28 06:40:00+00:00,2013-04-28 16:40:00+10:00,Hawthorn,North Melbourne,MCG,99-96,Hawthorn,1.166,5.98,Hawthorn,1
4915,2013,HA,6,2013-05-03 09:50:00+00:00,2013-05-03 19:50:00+10:00,Collingwood,St Kilda,Docklands,103-77,Collingwood,1.256,4.38,Collingwood,1
4916,2013,HA,6,2013-05-04 03:45:00+00:00,2013-05-04 13:45:00+10:00,Essendon,GWS,Docklands,120-81,Essendon,1.01,29.16,Essendon,1
4917,2013,HA,6,2013-05-04 04:10:00+00:00,2013-05-04 14:10:00+10:00,North Melbourne,Port Adelaide,Hobart,93-83,North Melbourne,1.408,3.18,North Melbourne,1
4918,2013,HA,6,2013-05-04 06:40:00+00:00,2013-05-04 16:40:00+10:00,Adelaide,Hawthorn,Footy Park,78-89,Hawthorn,5.04,1.21,Hawthorn,1
4919,2013,HA,6,2013-05-04 09:40:00+00:00,2013-05-04 19:40:00+10:00,Richmond,Geelong,MCG,87-131,Geelong,3.01,1.444,Geelong,1
4920,2013,HA,6,2013-05-04 09:40:00+00:00,2013-05-04 19:40:00+10:00,Gold Coast,Fremantle,Gold Coast,54-99,Fremantle,2.8,1.497,Fremantle,1
4921,2013,HA,6,2013-05-05 03:10:00+00:00,2013-05-05 13:10:00+10:00,Sydney,Brisbane,SCG,115-55,Sydney,1.071,10.75,Sydney,1
4922,2013,HA,6,2013-05-05 05:15:00+00:00,2013-05-05 15:15:00+10:00,Carlton,Melbourne,MCG,121-60,Carlton,1.02,22.73,Carlton,1
4923,2013,HA,6,2013-05-05 06:40:00+00:00,2013-05-05 16:40:00+10:00,West Coast,Western Bulldogs,Subiaco,137-67,West Coast,1.03,17.5,West Coast,1
4924,2013,HA,7,2013-05-10 09:50:00+00:00,2013-05-10 19:50:00+10:00,Geelong,Essendon,Docklands,113-85,Geelong,1.671,2.35,Geelong,1
4925,2013,HA,7,2013-05-11 03:45:00+00:00,2013-05-11 13:45:00+10:00,Port Adelaide,Richmond,Footy Park,73-114,Richmond,1.598,2.51,Port Adelaide,0
4926,2013,HA,7,2013-05-11 04:10:00+00:00,2013-05-11 14:10:00+10:00,Brisbane,West Coast,Gabba,82-108,West Coast,4.26,1.266,West Coast,1
